蓝色,绿色,红色,物攻,法攻,生命,物防,法防,移速,冷却,物吸血,法吸血,回血,攻速,暴击率,物穿,法穿,暴击效果
刹那,,,,,13.5,,,0.7,,,,,,,,,
吞噬,,,,,,,,0.4,,0.8,,,,,,,
复苏,,,,,,,,,,,,9,,,,,
急救,,,,,,,,0.5,,,,,0.4,0.3,,,
正义,,,0.6,,36,,,,,,,,,,,,
气数,,,,,45,,,,,,,,,,,,
渴血,,,,1.4,,,1.6,,,,0.8,,,,,,
滋生,,,,,36,1.6,,,,,,,,,,,
,侵蚀,,,0.9,,,,,,,,,,,,3.8,
,奇袭,,,,,,,,0.5,,,,0.4,,,,
,庇护,,,,,3.2,,,,,,4.5,,,,,
,憎恶,,,,,,3.2,,,,0.5,,,,,,
,无畏,,,,,,5.4,,,,,,,,,,
,潜能,,,,15.7,,,,0.3,,,3.1,,,,,
,野性,,,,13.5,,,,,,,,,,3.8,,
,铁躯,,,,,5.4,,,,,,,,,,,
,,惩戒,,,,,,,,,,,,1,,,
,,戒律,,2.5,,,,,,,,,,0.3,,,
,,暴戾,1.5,,13.5,,,,,,,,,,,,
,,狂热,,,,,,,,,,,,0.5,,,2
,,荆棘,1.5,,,,,,,,,,0.4,,,,
,,衰败,,,,,,,,,,,1.2,,,,
,,阳炎,,2.5,,,,,,,,,,,,1.4,
,,风暴,,,,,,,,,,,0.6,0.3,,,1.1
